NO,名称,住所,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数
1,市立稲毛高等学校・附属中学校・国際中等教育学校,千葉県千葉市美浜区高浜3-1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,13050
2,旧花見川第三小学校（跡施設）,千葉県千葉市花見川区花見川1-1,千葉県,千葉市,1,1,1,1,1,,1,,1,3810
3,愛生運動広場,千葉県千葉市若葉区愛生町102-1,千葉県,千葉市,1,1,1,1,1,,1,,,6070
4,浜田公園,千葉県千葉市美浜区浜田2-126,千葉県,千葉市,1,1,,1,1,,1,,,3590
5,県立千葉女子高等学校,千葉県千葉市稲毛区小仲台5-10-1,千葉県,千葉市,1,1,1,1,1,,1,,1,7220
6,花島小学校,千葉県千葉市花見川区花見川8-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5020
7,千葉職業能力開発短期大学校,千葉県千葉市中央区問屋町2-25,千葉県,千葉市,,,,,1,,,,,2688
8,科学館,千葉県千葉市中央区中央4-5-1,千葉県,千葉市,1,1,1,1,1,,1,,1,190
9,子育て支援館,千葉県千葉市中央区中央4-5-1,千葉県,千葉市,1,1,1,1,1,,1,,1,190
10,新宿小学校,千葉県千葉市中央区新宿2-15-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4790
11,県立柏井高等学校,千葉県千葉市花見川区柏井町1452,千葉県,千葉市,1,1,1,1,1,,1,,1,11200
12,柏台小学校,千葉県千葉市稲毛区園生町588,千葉県,千葉市,1,1,1,1,1,,1,,1,5510
13,緑が丘公民館,千葉県千葉市稲毛区宮野木町1807-3,千葉県,千葉市,1,1,1,1,1,,1,,1,210
14,宮野木小学校,千葉県千葉市稲毛区宮野木町2100,千葉県,千葉市,1,1,1,1,1,,1,,1,4500
15,宮野木スポーツセンター体育館,千葉県千葉市稲毛区宮野木町2150-4,千葉県,千葉市,1,1,1,1,1,,1,,1,690
16,県立京葉工業高等学校,千葉県千葉市稲毛区穴川4-11-32,千葉県,千葉市,1,1,1,1,1,,1,,1,9150
17,穴川コミュニティセンター,千葉県千葉市稲毛区穴川4-12-3,千葉県,千葉市,1,1,1,1,1,,1,,1,1060
18,轟公民館,千葉県千葉市稲毛区轟町1-12-3,千葉県,千葉市,1,1,1,1,1,,1,,1,300
19,県立千葉東高等学校,千葉県千葉市稲毛区轟町1-18-52,千葉県,千葉市,1,1,1,1,1,,1,,1,7950
20,轟町小学校,千葉県千葉市稲毛区轟町3-4-30,千葉県,千葉市,1,1,1,1,1,,1,,1,4630
21,轟町中学校,千葉県千葉市稲毛区轟町3-5-14,千葉県,千葉市,1,1,1,1,1,,1,,1,4690
22,市立第二養護学校,千葉県千葉市稲毛区轟町3-6-25,千葉県,千葉市,1,1,1,1,1,,1,,1,2850
23,黒砂公民館,千葉県千葉市稲毛区黒砂2-4-18,千葉県,千葉市,1,1,1,1,1,,1,,1,300
24,西千葉公園,千葉県千葉市稲毛区黒砂台3-1,千葉県,千葉市,1,1,1,1,1,,1,,,8480
25,都賀公民館,千葉県千葉市稲毛区作草部2-8-53,千葉県,千葉市,1,1,1,1,1,,1,,1,210
26,千草台東小学校,千葉県千葉市稲毛区作草部町1298-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4950
27,都賀中学校,千葉県千葉市稲毛区作草部町1306-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5600
28,都賀小学校,千葉県千葉市稲毛区作草部町938,千葉県,千葉市,1,1,1,1,1,,1,,1,4940
29,山王小学校,千葉県千葉市稲毛区山王町121,千葉県,千葉市,1,1,1,1,1,,1,,1,5540
30,山王ふれあい公園,千葉県千葉市稲毛区山王町182,千葉県,千葉市,1,1,1,1,1,,1,,,3840
31,小中台西公園,千葉県千葉市稲毛区小中台町400-1,千葉県,千葉市,1,1,1,1,1,,1,,,3660
32,小園公園,千葉県千葉市稲毛区小仲台4-2,千葉県,千葉市,1,1,1,1,1,,1,,,4560
33,仲よし公園,千葉県千葉市稲毛区小仲台5-1,千葉県,千葉市,1,1,1,1,1,,1,,,3020
34,小中台公民館,千葉県千葉市稲毛区小仲台5-7-1,千葉県,千葉市,1,1,1,1,1,,1,,1,370
35,小中台小学校,千葉県千葉市稲毛区小仲台6-34-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4770
36,小中台南小学校,千葉県千葉市稲毛区小仲台8-15-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4600
37,園生小学校,千葉県千葉市稲毛区小仲台9-30-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5460
38,市立千葉高等学校,千葉県千葉市稲毛区小仲台9-46-1,千葉県,千葉市,1,1,1,1,1,,1,,1,13980
39,小中台中学校,千葉県千葉市稲毛区小仲台9-46-2,千葉県,千葉市,1,1,1,1,1,,1,,1,5580
40,千草台中学校,千葉県千葉市稲毛区千草台2-3-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5420
41,長沼原勤労市民プラザ,千葉県千葉市稲毛区長沼原町304-1,千葉県,千葉市,1,1,1,1,1,,1,,1,430
42,スマートコミュニティ稲毛グラウンド,千葉県千葉市稲毛区長沼原町882-1,千葉県,千葉市,1,1,1,1,1,1,1,,,29670
43,県立千葉北高等学校,千葉県千葉市稲毛区長沼町153,千葉県,千葉市,1,1,1,1,1,,1,,1,9660
44,長沼町公園,千葉県千葉市稲毛区長沼町255-1,千葉県,千葉市,1,1,1,1,1,,1,,,3800
45,長沼コミュニティセンター,千葉県千葉市稲毛区長沼町461-8,千葉県,千葉市,1,1,1,1,1,,1,,1,1060
46,千草台公民館,千葉県千葉市稲毛区天台3-16-5,千葉県,千葉市,1,1,1,1,1,,1,,1,200
47,千草台小学校,千葉県千葉市稲毛区天台5-11-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4400
48,千葉県総合スポーツセンター,千葉県千葉市稲毛区天台町323,千葉県,千葉市,1,1,1,1,1,1,1,,,176820
49,千葉大学構内（※建物を含まない）,千葉県千葉市稲毛区弥生町1-33,千葉県,千葉市,1,1,1,1,1,1,1,,,136820
50,弥生小学校,千葉県千葉市稲毛区弥生町3-18,千葉県,千葉市,1,1,1,1,1,,1,,1,2830
51,緑町小学校,千葉県千葉市稲毛区緑町2-13-1,千葉県,千葉市,1,1,1,1,1,,1,,1,4100
52,緑町中学校,千葉県千葉市稲毛区緑町2-3-1,千葉県,千葉市,1,1,1,1,1,,1,,1,5790
53,山王公民館,千葉県千葉市稲毛区六方町55-29,千葉県,千葉市,1,1,1,1,1,,1,,1,200
